|PLN|PLN_LABEL|PRODUCT_CATEGORY|PRODUCT_CATEGORY_LABEL|OPSTUDY|OPSTUDY_LABEL|Revenue|Promo|Year|Date
99|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1723.0|0|15|208
103|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1694.0|0|15|215
107|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1830.0|0|15|222
59|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1656.0|0|15|301
63|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1828.0|0|15|308
67|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1799.0|0|15|315
71|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1782.0|0|15|322
75|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3194.0|0|15|329
79|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3529.0|0|15|405
83|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3703.0|0|15|412
87|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3558.0|0|15|419
91|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1722.0|0|15|426
95|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1855.0|0|15|503
111|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1845.0|0|15|510
115|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1878.0|0|15|517
119|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1943.0|0|15|524
123|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2861.0|0|15|531
127|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3102.0|0|15|607
131|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3164.0|0|15|614
135|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2998.0|0|15|621
139|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1844.0|0|15|628
143|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1846.0|0|15|705
147|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1719.0|0|15|712
151|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1747.0|0|15|719
155|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2873.0|0|15|726
159|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|3043.0|0|15|802
163|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2906.0|0|15|809
167|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2841.0|0|15|816
171|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2736.0|0|15|823
175|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2116.0|0|15|830
183|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1936.0|0|15|906
187|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1968.0|0|15|913
191|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1922.0|0|15|920
179|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1911.0|0|15|927
11|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1753.0|0|15|1004
15|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1842.0|0|15|1011
19|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1819.0|0|15|1018
23|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1756.0|0|15|1025
27|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1918.0|0|15|1101
31|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2048.0|0|15|1108
35|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1905.0|0|15|1115
39|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1876.0|0|15|1122
43|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2002.0|0|15|1129
47|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1908.0|0|15|1206
51|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1951.0|0|15|1213
55|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1999.0|0|15|1220
7|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1954.0|0|15|1227
195|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2008.0|0|16|103
199|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1894.0|0|16|110
203|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|1950.0|0|16|117
207|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2121.0|0|16|124
211|40000755059|FUNGICURE ANTIFUNGL LIQ       1OZ|047-001|ANTI-FUNGAL|47|FOOT NEEDS|2277.0|0|16|131
