|WEEK|PLN|PLN_LABEL|PRODUCT_CATEGORY|PRODUCT_CATEGORY_LABEL|OPSTUDY|OPSTUDY_LABEL|ACTUAL|BU|SEG|PROMO
0|1160529|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|2.0|Consumables|B|N
1|1160529|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|36.0|Consumables|C4|N
235461|1151227|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|A|N
235462|1151227|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|33.0|Consumables|C4|N
235463|1151227|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|B|N
235464|1151227|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|NoSegment-C|N
353078|1151004|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|A|N
353079|1151004|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|36.0|Consumables|C4|N
353080|1151004|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|1.0|Consumables|B|N
353081|1151004|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|NoSegment-C|N
399031|1151011|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|A|N
399032|1151011|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|29.0|Consumables|C4|N
399033|1151011|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|2.0|Consumables|B|N
399034|1151011|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|2.0|Consumables|NoSegment-C|N
620597|1151018|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|3.0|Consumables|A|N
620598|1151018|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|23.0|Consumables|C4|N
620599|1151018|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|1.0|Consumables|B|N
620600|1151018|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|2.0|Consumables|NoSegment-C|N
770060|1151025|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|A|N
770061|1151025|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|39.0|Consumables|C4|N
770062|1151025|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|1.0|Consumables|B|N
770063|1151025|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|3.0|Consumables|NoSegment-C|N
903626|1151101|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|1.0|Consumables|A|N
903627|1151101|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|33.0|Consumables|C4|N
903628|1151101|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|B|N
903629|1151101|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|1.0|Consumables|NoSegment-C|N
1035896|1151108|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|A|N
1035897|1151108|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|27.0|Consumables|C4|N
1035898|1151108|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|B|N
1035899|1151108|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|NoSegment-C|N
1163730|1151115|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|0.0|Consumables|A|N
1163731|1151115|40000223091|NIDO MILK PWDR NIDO FCRM  28.16OZ|006-108|ETHNIC|6|GENERAL GROCERIES|30.0|Consumables|C4|N
