|WEEK|PLN|PLN_LABEL|PRODUCT_CATEGORY|PRODUCT_CATEGORY_LABEL|OPSTUDY|OPSTUDY_LABEL|ACTUAL|BU|SEG|PROMO
10392774|1160828|40000808493|ENERGIZER ELEC BAT ECR1216BP|108-002|BUTTON|108|BATTERIES|1.0|Consumables|NoSegment-C|N
15857497|1170528|40000261572|ALM CLR+CRE LIQ LP BLM B/BLM.24OZ|165-001|LIPSTICK|165|COSM-LIP|12.0|Beauty|C4|N
19458210|1171119|40000944668|SH CLR THRPY AURA NT YOU RLXD .5Z|195-001|POLISH|195|COSM-NAIL|4.0|Beauty|B|N
9466741|1160717|40000369278|CG QN CC CREME RCH SND Q600   1OZ|104-001|FOUNDATION|104|COSM-FACE|0.0|Beauty|A|Y
1604532|1151213|40000176837|W/L ULTRA SHEER IVORY C|054-008|ETHNIC|54|HOSIERY|5.0|Consumables|C3|N
15718404|1170521|40000712806|SUAVE A/P AERO S/FRSH 7855    6OZ|210-002|AEROSOL WOM|210|DEODORANTS|43.0|Beauty|NoSegment-C|N
16085088|1170611|40000931553|LICENSED POP VINYL           AST|079-003|ACTION FIGURES/AC|79|TOYS AND GAMES|64.0|Consumables|B|N
11232035|1161009|40000933447|CARESS ENCHANT BODY WASH   13.5OZ|206-004|BDY WASH/SHO|206|BATH/SOAP|167.0|Beauty|B|N
16207381|1170618|40000381484|ELF MNRL INF FC PRMR TNE ADJ .49Z|104-104|FACE MISC|104|COSM-FACE|130.0|Beauty|C4|N
15008501|1170416|40000952591|GLADE CANDLE CASHMERE WOODS 3.4OZ|116-003|CANDLES|116|AIR FRESHNER|130.0|Consumables|A|Y
4182684|1150628|40000462690|DENTEK TRIP CLN FLOSS PICKS  150S|185-009|INTERDENT|185|DENTAL NDS|3.0|Beauty|B|
5129951|1150830|40000232725|CHLORASEPTIC SPRY S/F WRM H/LM6OZ|184-004|THROAT LOZ/|184|COUGH COLD|290.0|Health/Wellness|A|
3757231|1150531|40000299008|STOPAIN REG STRNGTH GEL 2.5OZ 2S|189-031|TOPICALS|189|PAIN|3.0|Health/Wellness|NoSegment-C|
17827373|1170827|40000944171|MNY FC STD MSR CNTR STCK DP .24OZ|104-003|CONCEALER|104|COSM-FACE|129.0|Beauty|C3|Y
4150617|1150628|40000342833|LOR VIS L/BLUR FNDTN S/BGE  1.3OZ|104-001|FOUNDATION|104|COSM-FACE|2.0|Beauty|B|
12226942|1161127|40000162604|LEGGS SLKN MST U/SHR S/BGE B ST|054-012|SHEERS|54|HOSIERY|34.0|Consumables|NoSegment-C|N
5396770|1150906|40000215437|LOR CR E/SHDW QD SHPNG SPREE.17OZ|141-002|SHADOW|141|COSM-EYE|1.0|Beauty|NoSegment-C|N
7407956|1160320|40000515898|MAYB LNE EXPRS E/LNR EB/BLK.035OZ|141-004|PENCIL LINER|141|COSM-EYE|926.0|Beauty|C1|Y
8989251|1160612|40000147212|TAMPAX RADIANT REG UNSCNT     32S|074-008|TAMP SUPER PR|74|SANITARY|1.0|Health/Wellness|B|N
4265148|1150705|40000376850|TRES SHAM DEEP CLEANSING     28OZ|213-020|GENERAL/MASS SHAMPOO|213|SHAMPOO/COND|623.0|Beauty|B|
